COUNTS - 2014 - annual entries & exits,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,[ Weights,253,52,59,253,52,59,],,,,
Counts by station,,,,,,,,,Annual,,,,
 ,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,
nlc,Station,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,
721,Sudbury Town                       , ,3551,2512,1730,3089,2005,1465,2.10,,,,
723,Swiss Cottage                      , ,11796,7929,5493,11318,7536,5185,7.28,,,,
724,Temple                             , ,13515,5625,3713,14491,6408,3485,8.14,,,,
725,Theydon Bois                       , ,1421,834,441,1402,788,428,0.85,,,,
726,Tooting Bec                        , ,12083,9082,6020,11427,8189,6045,7.56,,,,
727,Tooting Broadway                   , ,23628,17840,11659,23365,16837,12448,15.11,,,,
728,Tottenham Court Road               , ,56017,47647,30721,55983,47645,28111,36.76,,,,
729,Tottenham Hale                     , ,18983,13976,9826,18311,12509,8793,11.91,,,,
730,Totteridge & Whetstone             , ,3794,2229,1396,3544,2050,1358,2.24,,,,
731,Tower Hill                         , ,36536,38629,28152,38467,39249,27754,26.32,,,,
733,Tufnell Park                       , ,6309,5267,3520,5689,4443,3241,3.94,,,,
734,Turnham Green                      , ,9817,7099,4809,10431,7243,5201,6.46,,,,
735,Turnpike Lane                      , ,16502,14281,9996,15982,12548,9575,10.77,,,,
736,Upminster                          ,A,8180,5275,2382,9005,4782,2454,5.16,,,,
737,Upminster Bridge                   , ,2041,718,308,2055,650,283,1.14,,,,
738,Upney                              , ,4380,2515,1642,3941,2169,1426,2.53,,,,
739,Upton Park                         , ,17820,13798,9623,17289,12827,9824,11.41,,,,
740,Uxbridge                           , ,12914,8343,5129,13195,7937,5421,8.07,,,,
777,Vauxhall                           , ,44774,32338,23185,40828,28742,22167,27.51,,,,
741,Victoria                           , ,130315,101732,77221,134661,100915,77932,86.73,,,,
742,Walthamstow Central                , ,28214,21052,14063,27885,20415,14805,18.05,,,,
743,Wanstead                           , ,4680,3922,2790,4693,3807,2576,3.09,,,,
745,Warren Street                      , ,33716,12814,8553,34127,11836,7707,19.41,,,,
746,Warwick Avenue                     , ,7245,5182,3551,6846,4790,3659,4.51,,,,
747,Waterloo                           ,T,144764,103536,60995,145655,102111,63110,91.49,,,,
748,Watford                            , ,2962,1560,984,2873,1591,989,1.76,,,,
751,Wembley Central                    , ,7852,6639,4602,8522,6942,6852,5.52,,,,
752,Wembley Park                       , ,20894,18370,14863,20613,18129,14108,14.11,,,,
753,West Acton                         , ,2705,1867,1153,2605,1698,1166,1.67,,,,
755,West Brompton                      , ,6553,5272,3233,7480,5037,3285,4.47,,,,
756,West Finchley                      , ,2620,1490,874,2468,1294,889,1.54,,,,
757,West Ham                           , ,5592,4787,3232,4994,4161,2954,3.51,,,,
758,West Hampstead                     , ,17676,11535,7129,16411,10270,6986,10.59,,,,
759,West Harrow                        , ,1959,1174,674,1963,1274,715,1.20,,,,
760,West Kensington                    , ,8237,6059,4337,7791,5228,4031,5.14,,,,
762,West Ruislip                       , ,2458,2164,1114,2342,1991,1055,1.56,,,,
754,Westbourne Park                    , ,6443,4404,2830,5371,3646,2597,3.73,,,,
761,Westminster                        , ,38015,36354,24853,38929,37190,21610,26.03,,,,
764,White City                         , ,11936,6668,4232,13062,6599,4244,7.51,,,,
763,Whitechapel                        , ,20551,11506,8080,21755,12003,8275,12.89,,,,
765,Willesden Green                    , ,13863,10996,7743,13169,9677,7595,8.82,,,,
766,Willesden Junction                 ,A,7185,4956,2731,7339,4614,2890,4.50,,,,
767,Wimbledon                          ,A,24613,16353,9999,24197,17101,10511,15.30,,,,
768,Wimbledon Park                     , ,3242,2295,1201,2608,1554,955,1.81,,,,
770,Wood Green                         , ,19935,17903,12231,19910,17200,12279,13.35,,,,
599,Wood Lane                          , ,5671,4790,2898,6612,5161,3167,3.98,,,,
769,Woodford                           , ,9339,6588,3802,9394,6201,4094,5.87,,,,
771,Woodside Park                      , ,4328,2763,1705,4143,2839,1896,2.65,,,,
 ,,,,,,,,,,,,,
,Total,,4524032,3302638,2262715,4526704,3251391,2227887,2895.59,,,,
,,,,,,,,,,,,,
